timestamp,phase,entropy_total,entropy_ang,entropy_lin,est_error_ang,est_error_lin
2025-04-24 14:47:31,Phase 0,0,0,0,-0.0277,0
2025-04-24 14:47:32,Phase 0,0,0,0,0,0
2025-04-24 14:47:33,Phase 0,0,0,0,0,0
2025-04-24 14:47:34,Phase 0,0,0,0,0.07796,0.01913
2025-04-24 14:47:35,Phase 0,0,0,0,-0.03239,-0.00894
2025-04-24 14:47:36,Phase 0,0.18425,0.26321,0,-0.00492,-0.04928
2025-04-24 14:47:37,Phase 0,0.18425,0.26321,0,-0.10484,-0.07907
2025-04-24 14:47:38,Phase 0,0.18425,0.26321,0,-0.13357,-0.09457
2025-04-24 14:47:39,Phase 0,0.48771,0.4327,0.61605,-0.03327,0.01127
2025-04-24 14:47:40,Phase 0,0.48771,0.4327,0.61605,0.08105,-0.03383
2025-04-24 14:47:41,Phase 0,0.16485,0.16485,0.16485,-0.07044,0.00962
2025-04-24 14:47:42,Phase 0,0.16485,0.16485,0.16485,0.11724,0.0331
2025-04-24 14:47:43,Phase 0,0.16485,0.16485,0.16485,-0.09548,-0.03257
2025-04-24 14:47:44,Phase 0,0.62099,0.6305,0.59878,-0.00157,-0.00167
2025-04-24 14:47:45,Phase 0,0.62099,0.6305,0.59878,0.00015,0.00054
2025-04-24 14:47:46,Phase 0,0.19858,0.1064,0.41366,-0.01788,0.01302
2025-04-24 14:47:47,Phase 0,0.19858,0.1064,0.41366,0.00015,3E-05
2025-04-24 14:47:48,Phase 0,0.19858,0.1064,0.41366,0.00349,0.00367
2025-04-24 14:47:49,Phase 0,0.34185,0.35965,0.30032,-0.18131,-0.07423
2025-04-24 14:47:50,Phase 0,0.34185,0.35965,0.30032,-0.01871,0.00731
2025-04-24 14:47:51,Phase 0,0.24077,0.30032,0.10182,0,0
2025-04-24 14:47:52,Phase 0,0.24077,0.30032,0.10182,-0.10103,-0.00051
2025-04-24 14:47:53,Phase 0,0.24077,0.30032,0.10182,0.00045,0
2025-04-24 14:47:54,Phase 0,0.13775,0.1064,0.21091,0.00257,0.00415
2025-04-24 14:47:55,Phase 0,0.13775,0.1064,0.21091,0.0294,-0.00981
2025-04-24 14:47:56,Phase 0,0,0,0,0.0109,0
2025-04-24 14:47:57,Phase 0,0,0,0,-0.00174,0
2025-04-24 14:47:58,Phase 0,0,0,0,0.00177,0.00137
2025-04-24 14:47:59,Phase 0,0,0,0,0.00289,0.00172
2025-04-24 14:48:00,Phase 0,0,0,0,0,0
2025-04-24 14:48:01,Phase 0,0,0,0,-0.00933,0.00784
2025-04-24 14:48:02,Phase 0,0,0,0,-0.00119,0.00318
2025-04-24 14:48:03,Phase 0,0,0,0,-0.04098,-0.03373
2025-04-24 14:48:04,Phase 0,0,0,0,0,0
2025-04-24 14:48:05,Phase 0,0,0,0,0.00049,0.00066
2025-04-24 14:48:06,Phase 0,0,0,0,0,0
2025-04-24 14:48:07,Phase 0,0,0,0,-0.00374,-0.00466
2025-04-24 14:48:08,Phase 0,0,0,0,0,-0.0009
2025-04-24 14:48:09,Phase 0,0,0,0,-0.13428,-0.04447
2025-04-24 14:48:10,Phase 0,0,0,0,-0.01539,0.0032
2025-04-24 14:48:11,Phase 0,0.17192,0.20196,0.10182,-0.08746,0.00414
2025-04-24 14:48:12,Phase 0,0.17192,0.20196,0.10182,-0.03308,0.02278
2025-04-24 14:48:13,Phase 0,0.17192,0.20196,0.10182,-0.00134,0.00381
2025-04-24 14:48:14,Phase 0,0.07127,0.10182,0,0.00326,0.00724
2025-04-24 14:48:15,Phase 0,0.07127,0.10182,0,0,0.00027
2025-04-24 14:48:16,Phase 0,0,0,0,0,0
2025-04-24 14:48:17,Phase 0,0,0,0,0.17837,-0.13847
2025-04-24 14:48:18,Phase 0,0,0,0,-0.39413,-0.13172
2025-04-24 14:48:19,Phase 0,0.32387,0.30853,0.35965,-0.00734,0.00163
2025-04-24 14:48:20,Phase 0,0.32387,0.30853,0.35965,-0.01036,0
2025-04-24 14:48:21,Phase 0,0.31234,0.35965,0.20196,0.02198,0.00299
2025-04-24 14:48:22,Phase 0,0.31234,0.35965,0.20196,-0.00801,0.0044
2025-04-24 14:48:23,Phase 0,0.31234,0.35965,0.20196,0.00073,-0.00191
2025-04-24 14:48:24,Phase 0,0.22982,0.21091,0.27395,0.03684,0
2025-04-24 14:48:25,Phase 0,0.22982,0.21091,0.27395,0.00536,0.00507
2025-04-24 14:48:26,Phase 0,0.11539,0.16485,0,0.00103,0.00056
2025-04-24 14:48:27,Phase 0,0.11539,0.16485,0,0.00663,0.00845
2025-04-24 14:48:28,Phase 0,0.11539,0.16485,0,0.00457,0.00482
2025-04-24 14:48:29,Phase 0,0.10182,0.10182,0.10182,0,0.00092
2025-04-24 14:48:30,Phase 0,0.10182,0.10182,0.10182,0,0
2025-04-24 14:48:31,Phase 0,0,0,0,0,0
2025-04-24 14:48:32,Phase 0,0,0,0,-0.00325,-0.00265
2025-04-24 14:48:33,Phase 0,0,0,0,-0.03542,-0.01533
2025-04-24 14:48:34,Phase 0,0,0,0,0,0
2025-04-24 14:48:35,Phase 0,0,0,0,0,0
2025-04-24 14:48:36,Phase 0,0,0,0,-0.012,0.0105
2025-04-24 14:48:37,Phase 0,0,0,0,0.00238,-0.00048
2025-04-24 14:48:38,Phase 0,0,0,0,0.00518,0.00195
2025-04-24 14:48:39,Phase 0,0,0,0,0,-0.00033
2025-04-24 14:48:40,Phase 0,0,0,0,0.00015,0
2025-04-24 14:48:41,Phase 0,0,0,0,-0.00122,0.00392
2025-04-24 14:48:42,Phase 0,0,0,0,0,-0.0001
2025-04-24 14:48:43,Phase 0,0,0,0,-0.00134,0.00237
2025-04-24 14:48:44,Phase 0,0,0,0,0,0.0001
2025-04-24 14:48:45,Phase 0,0,0,0,-0.02288,0.0078
2025-04-24 14:48:46,Phase 0,0,0,0,-0.03174,0.03581
2025-04-24 14:48:47,Phase 0,0,0,0,0,-0.00455
2025-04-24 14:48:48,Phase 0,0,0,0,-0.054,0.00965
2025-04-24 14:48:49,Phase 0,0.03055,0,0.10182,0.02673,0.0004
2025-04-24 14:48:50,Phase 0,0.03055,0,0.10182,-0.03434,-0.00969
2025-04-24 14:48:51,Phase 0,0.07127,0.10182,0,0.0248,0.01149
2025-04-24 14:48:52,Phase 0,0.07127,0.10182,0,-0.00079,-0.00028
2025-04-24 14:48:53,Phase 0,0.07127,0.10182,0,-0.00022,0.00339
2025-04-24 14:48:54,Phase 0,0,0,0,-0.00422,-0.02071
2025-04-24 14:48:55,Phase 0,0,0,0,0.12516,-0.00248
2025-04-24 14:48:56,Phase 0,0.24077,0.30032,0.10182,-0.04849,0.00888
2025-04-24 14:48:57,Phase 0,0.24077,0.30032,0.10182,0.02876,-0.03229
2025-04-24 14:48:58,Phase 0,0.24077,0.30032,0.10182,-0.00064,-0.00173
2025-04-24 14:48:59,Phase 0,0.24927,0.20196,0.35965,0.07578,0.0163
2025-04-24 14:49:00,Phase 0,0.24927,0.20196,0.35965,-0.00087,-0.01673
2025-04-24 14:49:01,Phase 0,0.34414,0.37423,0.27395,0.07928,0.03672
2025-04-24 14:49:02,Phase 0,0.34414,0.37423,0.27395,0.00463,0.00738
2025-04-24 14:49:03,Phase 0,0.34414,0.37423,0.27395,0.00021,0.00034
2025-04-24 14:49:04,Phase 0,0.27081,0.30032,0.20196,-0.11602,0.05759
2025-04-24 14:49:05,Phase 0,0.27081,0.30032,0.20196,-0.01019,0.04365
2025-04-24 14:49:06,Phase 0,0.12073,0.10182,0.16485,-0.03474,0.04615
2025-04-24 14:49:07,Phase 0,0.12073,0.10182,0.16485,-0.00122,-0.00074
2025-04-24 14:49:08,Phase 0,0.12073,0.10182,0.16485,-0.02003,-0.01552
2025-04-24 14:49:09,Phase 0,0.44401,0.47214,0.37839,-0.00095,-0.01058
2025-04-24 14:49:10,Phase 0,0.44401,0.47214,0.37839,-0.11425,-0.05174
2025-04-24 14:49:11,Phase 0,0.12073,0.10182,0.16485,0.00643,0.00138
2025-04-24 14:49:12,Phase 0,0.12073,0.10182,0.16485,0,0.01012
2025-04-24 14:49:13,Phase 0,0.12073,0.10182,0.16485,0.08667,-0.05318
2025-04-24 14:49:14,Phase 0,0.35218,0.30853,0.45403,-0.0189,-0.02572
2025-04-24 14:49:15,Phase 0,0.35218,0.30853,0.45403,-0.06216,0.02849
2025-04-24 14:49:16,Phase 0,0.49943,0.52802,0.4327,0.04017,-0.01625
2025-04-24 14:49:17,Phase 0,0.49943,0.52802,0.4327,0.04429,-0.02095
2025-04-24 14:49:18,Phase 0,0.49943,0.52802,0.4327,0.0075,0.01403
2025-04-24 14:49:19,Phase 0,0.38986,0.30032,0.59878,-0.12076,0.05119
2025-04-24 14:49:20,Phase 0,0.38986,0.30032,0.59878,0.00536,-0.00954
2025-04-24 14:49:21,Phase 0,0.36759,0.30032,0.52455,0.00745,-0.0314
2025-04-24 14:49:22,Phase 0,0.36759,0.30032,0.52455,0.00493,-0.02681
2025-04-24 14:49:23,Phase 0,0.36759,0.30032,0.52455,-0.07425,0.04165
2025-04-24 14:49:24,Phase 0,0.40418,0.31338,0.61605,0.03251,-0.00693
2025-04-24 14:49:25,Phase 0,0.40418,0.31338,0.61605,-0.00151,-0.00094
2025-04-24 14:49:26,Phase 0,0.28186,0.27395,0.30032,-0.08485,-0.03964
2025-04-24 14:49:27,Phase 0,0.28186,0.27395,0.30032,-0.03981,-0.02402
2025-04-24 14:49:28,Phase 0,0.28186,0.27395,0.30032,0.03084,0.03541
2025-04-24 14:49:29,Phase 0,0.31782,0.45403,0,0.03828,0
2025-04-24 14:49:30,Phase 0,0.31782,0.45403,0,-0.01215,0
2025-04-24 14:49:31,Phase 0,0.22368,0.27395,0.1064,0,0
2025-04-24 14:49:32,Phase 0,0.22368,0.27395,0.1064,0.00014,0
2025-04-24 14:49:33,Phase 0,0.22368,0.27395,0.1064,0.05611,-0.00072
2025-04-24 14:49:34,Phase 0,0.07127,0.10182,0,0.00518,0.01617
2025-04-24 14:49:35,Phase 0,0.07127,0.10182,0,0.01382,0.00372
2025-04-24 14:49:36,Phase 0,0.19436,0.16485,0.26321,0.00161,0.00312
2025-04-24 14:49:37,Phase 0,0.19436,0.16485,0.26321,0,0
2025-04-24 14:49:38,Phase 0,0.19436,0.16485,0.26321,0,0
2025-04-24 14:49:39,Phase 0,0.03192,0,0.1064,0.0025,0.0036
2025-04-24 14:49:40,Phase 0,0.03192,0,0.1064,-0.03138,-0.02455
2025-04-24 14:49:41,Phase 0,0,0,0,-1E-05,-0.00032
2025-04-24 14:49:42,Phase 0,0,0,0,0.00848,0.00374
2025-04-24 14:49:43,Phase 0,0,0,0,-0.06213,-0.00117
2025-04-24 14:49:44,Phase 0,0,0,0,0.01268,-0.00105
2025-04-24 14:49:45,Phase 0,0,0,0,-0.00338,0
2025-04-24 14:49:46,Phase 0,0,0,0,-0.01963,0
2025-04-24 14:49:47,Phase 0,0,0,0,0.00239,-0.00067
2025-04-24 14:49:48,Phase 0,0,0,0,0,0
2025-04-24 14:49:49,Phase 0,0,0,0,-0.01168,0.0044
2025-04-24 14:49:50,Phase 0,0,0,0,0.01307,-0.00518
2025-04-24 14:49:51,Phase 0,0,0,0,-0.01584,0.00195
2025-04-24 14:49:52,Phase 0,0,0,0,0.00014,0
2025-04-24 14:49:53,Phase 0,0,0,0,0.06916,-0.0069
2025-04-24 14:49:54,Phase 0,0.07448,0.1064,0,0,0
2025-04-24 14:49:55,Phase 0,0.07448,0.1064,0,-0.02376,-0.00042
2025-04-24 14:49:56,Phase 0,0.07127,0.10182,0,-0.00538,0.00352
2025-04-24 14:49:57,Phase 0,0.07127,0.10182,0,0.00052,-0.00011
2025-04-24 14:49:58,Phase 0,0.07127,0.10182,0,-0.00232,0.0009
2025-04-24 14:49:59,Phase 0,0,0,0,-0.01086,0.00561
2025-04-24 14:50:00,Phase 0,0,0,0,0.00021,0.00493
2025-04-24 14:50:01,Phase 0,0.1064,0.1064,0.1064,0.00206,-0.00204
2025-04-24 14:50:02,Phase 0,0.1064,0.1064,0.1064,0.00014,-0.00022
2025-04-24 14:50:03,Phase 0,0.1064,0.1064,0.1064,-0.09814,0.119
2025-04-24 14:50:04,Phase 0,0.27434,0.26321,0.30032,-0.00357,0.02515
2025-04-24 14:50:05,Phase 0,0.27434,0.26321,0.30032,-0.01126,0.03425
2025-04-24 14:50:06,Phase 0,0.2604,0.20196,0.39676,-0.06383,0.05129
2025-04-24 14:50:07,Phase 0,0.2604,0.20196,0.39676,0.11606,0.03202
2025-04-24 14:50:08,Phase 0,0.2604,0.20196,0.39676,-0.01656,-0.02501
2025-04-24 14:50:09,Phase 0,0.49954,0.4327,0.65548,0.15125,0.06746
2025-04-24 14:50:10,Phase 0,0.49954,0.4327,0.65548,-0.0125,-0.04095
2025-04-24 14:50:11,Phase 0,0.45614,0.41692,0.54766,0.01919,0.02249
2025-04-24 14:50:12,Phase 0,0.45614,0.41692,0.54766,0.13668,-0.02679
2025-04-24 14:50:13,Phase 0,0.45614,0.41692,0.54766,0.04051,0.03143
2025-04-24 14:50:14,Phase 0,0.42805,0.41692,0.45403,0.00247,0.00029
2025-04-24 14:50:15,Phase 0,0.42805,0.41692,0.45403,0.02511,0.01473
2025-04-24 14:50:16,Phase 0,0,0,0,0.01484,0.00864
2025-04-24 14:50:17,Phase 0,0,0,0,-0.01182,-0.006
2025-04-24 14:50:18,Phase 0,0,0,0,-0.00113,0.01052
2025-04-24 14:50:19,Phase 0,0.10182,0.10182,0.10182,0.00331,0.00427
2025-04-24 14:50:20,Phase 0,0.10182,0.10182,0.10182,0.20228,0.08576
2025-04-24 14:50:21,Phase 0,0.24483,0.26321,0.20196,0.01051,0.00357
2025-04-24 14:50:22,Phase 0,0.24483,0.26321,0.20196,0.00181,0.01003
2025-04-24 14:50:23,Phase 0,0.24483,0.26321,0.20196,0.07946,-0.05897
2025-04-24 14:50:24,Phase 0,0.17956,0.21091,0.1064,-0.08686,-0.00241
2025-04-24 14:50:25,Phase 0,0.17956,0.21091,0.1064,-0.01789,0.01767
2025-04-24 14:50:26,Phase 0,0.22578,0.32254,0,0,0
2025-04-24 14:50:27,Phase 0,0.22578,0.32254,0,0.00018,0.00011
2025-04-24 14:50:28,Phase 0,0.22578,0.32254,0,-0.01835,-0.00615
2025-04-24 14:50:29,Phase 0,0.24077,0.30032,0.10182,0,-0.0001
2025-04-24 14:50:30,Phase 0,0.24077,0.30032,0.10182,0,0
2025-04-24 14:50:31,Phase 0,0,0,0,0,0
2025-04-24 14:50:32,Phase 0,0,0,0,-0.00025,-0.00053
2025-04-24 14:50:33,Phase 0,0,0,0,0.00761,0.01291
2025-04-24 14:50:34,Phase 0,0,0,0,-0.00917,-0.00262
2025-04-24 14:50:35,Phase 0,0,0,0,-0.00737,-0.00429
2025-04-24 14:50:36,Phase 0,0,0,0,-0.0029,-0.00321
2025-04-24 14:50:37,Phase 0,0,0,0,-0.04657,0.00686
average,,,,,,
timestamp,phase,entropy_total,entropy_ang,entropy_lin,est_error_ang,est_error_lin
2025-04-24 15:35:05,Phase 0,0,0,0,0.12252,-0.4415
2025-04-24 15:35:06,Phase 0,0,0,0,0.0679,0.00951
2025-04-24 15:35:07,Phase 0,0.27315,0.27315,0.27315,-0.02822,-0.00066
